Sample,X,Y,Z
0,0.9812,0.0120,0.0264
1,0.9849,0.0098,0.0122
2,0.9868,0.0098,0.0254
3,0.9861,0.0129,0.0117
4,0.9998,0.0103,0.0276
5,0.9812,0.0137,0.0132
6,0.9927,0.0093,0.0176
7,0.9858,0.0149,0.0247
8,0.9829,0.0037,0.0154
9,0.9871,0.0168,0.0249
10,0.9861,0.0112,0.0134
11,0.9939,0.0095,0.0300
12,0.9822,0.0146,0.0100
13,0.9890,0.0164,0.0254
14,0.9849,0.0154,0.0176
15,0.9927,0.0068,0.0154
16,0.9819,0.0168,0.0239
17,0.9829,0.0139,0.0090
18,0.9871,0.0178,0.0264
19,0.9841,0.0054,0.0112
20,0.9929,0.0127,0.0259
21,0.9868,0.0159,0.0129
22,0.9888,0.0100,0.0190
23,0.9871,0.0144,0.0176
24,0.9917,0.0088,0.0173
25,0.9858,0.0212,0.0239
26,0.9849,0.0132,0.0110
27,0.9897,0.0161,0.0247
28,0.9861,0.0210,0.0117
29,0.9927,0.0125,0.0229
30,0.9832,0.0137,0.0171
31,0.9910,0.0173,0.0210
32,0.9839,0.0208,0.0220
33,0.9822,0.0100,0.0146
34,0.9910,0.0183,0.0251
35,0.9819,0.0151,0.0105
36,0.9910,0.0173,0.0261
37,0.9880,0.0137,0.0134
38,0.9956,0.0125,0.0229
39,0.9832,0.0171,0.0142
40,0.9868,0.0105,0.0225
41,0.9819,0.0127,0.0210
42,0.9839,0.0105,0.0115
43,0.9851,0.0212,0.0276
44,0.9819,0.0120,0.0132
45,0.9907,0.0085,0.0239
46,0.9841,0.0093,0.0122
47,0.9897,0.0110,0.0217
48,0.9849,0.0120,0.0215
49,0.9871,0.0073,0.0156
50,0.9849,0.0103,0.0247
51,0.9858,0.0115,0.0132
52,0.9861,0.0095,0.0291
53,0.9829,0.0051,0.0059
54,0.9917,0.0081,0.0300
55,0.9839,0.0112,0.0164
56,0.9900,0.0049,0.0195
57,0.9880,-0.0242,0.0181
58,0.9675,-0.1035,-0.0068
59,0.9976,0.0195,0.0627
60,0.9871,-0.0356,0.0112
61,0.9460,-0.2473,-0.0063
62,1.0251,0.0132,0.0671
63,0.9761,-0.0122,0.0232
64,0.9556,-0.3340,-0.0076
65,1.0164,-0.0518,0.0278
66,0.9663,-0.1519,0.0273
67,1.0024,-0.3767,-0.0186
68,0.9692,-0.3423,0.0527
69,0.9937,-0.3672,0.0381
70,0.9790,-0.5415,0.0671
71,1.0007,-0.6282,0.0198
72,0.9705,-0.6848,0.0854
73,0.9751,-0.7446,0.0298
74,0.9917,-0.8081,0.0227
75,0.9478,-0.8120,0.0496
