Sample,X,Y,Z
0,0.9907,0.0178,0.0327
1,0.9839,0.0195,0.0151
2,0.9897,0.0129,0.0220
3,0.9871,0.0159,0.0227
4,0.9880,0.0144,0.0164
5,0.9858,0.0146,0.0269
6,0.9841,0.0178,0.0071
7,0.9919,0.0151,0.0325
8,0.9839,0.0142,0.0115
9,0.9937,0.0161,0.0249
10,0.9819,0.0193,0.0134
11,0.9917,0.0120,0.0239
12,0.9910,0.0190,0.0239
13,0.9832,0.0164,0.0120
14,0.9868,0.0161,0.0300
15,0.9849,0.0132,0.0107
16,0.9917,0.0149,0.0305
17,0.9819,0.0132,0.0122
18,0.9939,0.0117,0.0271
19,0.9858,0.0146,0.0164
20,0.9871,0.0127,0.0161
21,0.9858,0.0137,0.0239
22,0.9851,0.0066,0.0103
23,0.9841,0.0134,0.0281
24,0.9832,0.0127,0.0073
25,0.9858,0.0142,0.0298
26,0.9819,0.0154,0.0122
27,0.9927,0.0127,0.0225
28,0.9861,0.0149,0.0178
29,0.9900,0.0122,0.0168
30,0.9861,0.0129,0.0259
31,0.9832,0.0156,0.0085
32,0.9880,0.0210,0.0300
33,0.9792,0.0105,0.0115
34,0.9919,0.0161,0.0281
35,0.9851,0.0190,0.0156
36,0.9910,0.0144,0.0232
37,0.9868,0.0127,0.0168
38,0.9878,0.0142,0.0132
39,0.9871,0.0159,0.0288
40,0.9819,0.0149,0.0090
41,0.9871,0.0176,0.0312
42,0.9822,0.0176,0.0100
43,0.9937,0.0193,0.0300
44,0.9819,0.0173,0.0188
45,0.9917,0.0110,0.0239
46,0.9878,0.0227,0.0208
47,0.9878,0.0127,0.0151
48,0.9832,0.0120,0.0300
49,0.9880,0.0093,0.0120
50,0.9902,0.0181,0.0315
51,0.9851,0.0166,0.0125
52,0.9919,0.0105,0.0273
53,0.9819,0.0193,0.0198
54,0.9866,0.0137,0.0168
55,0.9822,0.0149,0.0227
56,0.9714,0.0210,0.0200
57,1.0005,0.0359,0.0208
58,1.0212,0.0439,-0.1094
59,0.9558,-0.0500,-0.1196
60,1.0144,0.0332,0.0332
61,1.0212,0.0823,-0.1787
62,1.0005,-0.0620,-0.4084
63,1.0359,0.1450,-0.1631
64,0.9490,-0.0403,-0.3394
65,1.0415,0.0063,-0.6755
66,1.0447,0.0293,-0.5181
67,0.9429,-0.0344,-0.5374
68,1.0203,0.1187,-0.6157
69,0.9509,-0.0059,-0.7876
70,0.9490,-0.1270,-0.6597
71,1.0327,0.1426,-0.6853
72,0.9070,-0.0088,-0.8452
73,0.9675,-0.0232,-0.7397
74,0.9556,0.0703,-0.7122
75,0.9243,-0.1272,-0.8801
76,0.9958,0.1267,-0.7212
77,0.9529,0.1001,-0.8306
78,0.8767,-0.1855,-0.9761
79,1.0535,0.1187,-0.8667
80,0.8845,-0.0427,-0.8853
81,0.9087,-0.0278,-1.0520
82,0.9751,0.0598,-0.9905
83,0.9695,0.0232,-1.0620
84,0.8267,-0.1133,-0.9456
85,0.9360,0.0122,-1.3049
86,0.8452,0.1658,-0.6536
87,0.8647,0.0635,-0.9358
88,1.1655,0.0559,-1.7297
89,0.9048,-0.3447,-1.3870
90,1.0288,0.0657,-0.7590
91,1.1079,-0.0452,-1.1028
92,0.8171,-0.1121,-1.5386
93,0.8950,-0.1938,-1.0588
94,1.0193,0.0771,-0.9448
95,0.7935,-0.3237,-1.0999
96,1.0942,0.3718,-0.8792
97,0.8582,-0.3010,-1.0786
98,1.0105,0.0217,-1.1021
99,0.9331,0.0608,-0.9827
100,0.9395,-0.1057,-0.8176
101,0.9753,0.0295,-0.8892
102,1.0066,-0.0752,-0.9360
103,0.8494,-0.2932,-0.9048
104,1.0640,-0.0576,-0.9055
105,1.0171,-0.0261,-0.4924
106,0.8843,-0.1326,-0.8206
107,1.0249,0.1943,-0.6189
108,0.8640,-0.1775,-1.2808
109,0.9448,-0.1121,-0.7219
110,1.0708,0.1506,-0.9553
111,0.9050,-0.2305,-1.1489
112,1.0183,0.1294,-0.4531
113,0.8423,-0.0120,-0.5530
114,0.9705,-0.2236,-1.0610
115,0.9966,-0.1331,-0.9827
116,0.9705,0.0859,-0.7537
117,0.9128,-0.1746,-0.7271
118,1.1306,0.2119,-0.8589
119,0.8669,-0.1348,-0.7876
120,0.9507,0.1111,-0.6487
121,1.0017,0.0469,-0.7847
122,1.0193,-0.0874,-0.8979
123,1.0291,0.0554,-0.6416
124,0.9888,-0.1116,-0.7249
125,0.9802,-0.1233,-0.7222
126,0.9700,0.0542,-0.4800
127,0.9294,-0.0505,-0.6836
128,0.9539,-0.0864,-0.8345
129,1.0564,0.0312,-0.7798
130,0.9275,-0.0037,-0.8062
131,0.9243,0.0466,-0.6565
132,0.9187,0.1091,-0.3286
133,0.9419,0.1260,-0.5950
134,0.9849,-0.0618,-0.8899
135,0.9858,-0.1733,-0.8323
136,0.9451,0.0361,-0.4712
137,0.9451,0.0994,-0.4907
138,0.8970,-0.1484,-0.7380
139,0.9626,0.0696,-0.8081
140,1.0581,-0.0276,-0.7053
141,0.9302,-0.1228,-0.6692
142,0.8452,0.0679,-0.4866
143,0.9487,0.1003,-0.4963
144,1.0396,0.0012,-0.8352
145,1.0259,-0.0610,-0.8528
146,1.0200,-0.0042,-0.4045
147,0.8511,-0.1306,-0.3137
148,0.9109,-0.0667,-0.5581
149,1.1655,0.1355,-0.8274
150,1.0601,-0.0432,-0.7131
151,0.9167,-0.1448,-0.2656
152,0.8738,-0.1194,-0.2283
153,1.0173,0.1431,-0.6655
154,1.0854,-0.0540,-1.0061
155,1.0037,0.0991,-0.4946
156,0.7927,-0.0552,-0.0300
157,0.8032,-0.2427,-0.3840
158,1.1636,-0.1001,-0.8879
159,1.0369,0.2720,-0.8501
160,0.8245,0.0107,-0.3206
161,0.8159,-0.3325,-0.0859
162,1.0642,-0.1321,-0.5649
163,1.0376,0.1282,-0.9192
164,0.9949,0.1128,-0.4341
165,0.8140,-0.1033,-0.0161
166,0.9441,-0.1667,-0.4658
167,1.1772,-0.0356,-0.9358
168,1.0513,0.1162,-0.5422
169,0.8149,0.0286,0.0889
170,0.8901,-0.1526,-0.5398
171,1.1228,-0.0020,-0.8140
172,1.0347,0.1814,-0.5237
173,0.8765,-0.0413,-0.0398
174,1.0327,-0.1375,-0.7102
175,1.0269,-0.0447,-0.9153
176,0.9792,0.3647,-0.2827
177,0.8201,-0.1765,0.1047
178,1.0925,-0.2437,-0.9429
179,1.0210,-0.0896,-0.8020
180,0.9011,0.4263,-0.2009
181,0.8015,-0.2080,-0.0698
182,1.1274,-0.3152,-0.9856
183,0.9919,0.0940,-0.6860
184,0.7378,0.2949,0.0117
185,0.9470,-0.0835,-0.2114
186,1.2029,-0.2507,-0.9556
187,1.1072,0.2764,-0.7202
188,0.9324,0.1096,0.2668
189,0.9236,-0.2288,-0.5679
190,1.1226,-0.0225,-1.0100
191,1.0308,0.4060,-0.2598
192,0.8621,-0.1829,0.0278
193,1.0698,-0.1218,-0.8733
194,1.0728,0.1943,-0.6799
195,0.9099,0.1494,-0.0393
196,1.0291,-0.2302,-0.2827
197,1.1658,-0.1084,-0.9712
198,0.9067,0.1008,-0.4111
199,0.9988,0.0789,0.2268
200,1.0261,-0.3792,-0.9595
201,1.0024,0.1169,-0.7913
202,0.8416,0.2271,0.2195
203,1.0710,-0.3811,-0.6235
204,1.1130,-0.0779,-1.0444
205,0.7417,0.1277,0.0959
206,1.0005,0.1082,-0.2341
207,0.9126,-0.2588,-1.0198
208,0.8198,0.0815,-0.4387
209,1.0571,0.2429,0.0991
210,1.0105,-0.3528,-0.5728
211,0.8853,0.0210,-0.9270
212,0.9695,0.2395,0.1677
213,1.1228,-0.2209,-0.3877
214,1.0896,-0.2014,-0.9663
215,1.0750,0.0288,-0.0322
216,1.0271,-0.0818,-0.2781
217,1.0493,0.0186,-0.8547
218,0.9304,-0.1553,-0.0544
219,1.0037,0.1497,-0.2190
220,1.0366,0.1033,-0.7727
221,0.8796,-0.2422,-0.3960
222,0.9751,0.2004,-0.3582
223,1.0652,0.1938,-0.5200
224,0.7798,-0.2095,-0.4116
225,0.8835,0.0178,-0.3022
226,1.2144,0.2478,-0.6331
227,0.6873,-0.2800,-0.5669
228,0.8687,-0.0845,-0.3118
229,1.1509,0.3621,-0.4436
230,0.5408,-0.2854,-0.5063
231,0.8882,-0.1162,-0.3704
232,1.1345,0.4077,-0.3862
233,0.4614,-0.4487,-0.2571
