Sample,X,Y,Z
0,0.9880,0.0132,0.0281
1,0.9858,0.0081,0.0078
2,0.9917,0.0139,0.0293
3,0.9802,0.0178,0.0095
4,0.9956,0.0120,0.0247
5,0.9858,0.0122,0.0183
6,0.9890,0.0100,0.0168
7,0.9880,0.0193,0.0266
8,0.9849,0.0120,0.0081
9,0.9868,0.0164,0.0308
10,0.9897,0.0154,0.0076
11,0.9946,0.0146,0.0269
12,0.9841,0.0144,0.0122
13,0.9939,0.0110,0.0217
14,0.9849,0.0151,0.0188
15,0.9878,0.0122,0.0127
16,0.9878,0.0154,0.0227
17,0.9871,0.0076,0.0083
18,0.9858,0.0171,0.0283
19,0.9890,0.0127,0.0105
20,0.9878,0.0120,0.0298
21,0.9871,0.0166,0.0149
22,0.9949,0.0081,0.0203
23,0.9841,0.0127,0.0188
24,0.9861,0.0059,0.0137
25,0.9880,0.0190,0.0295
26,0.9851,0.0063,0.0090
27,0.9878,0.0139,0.0254
28,0.9839,0.0134,0.0095
29,0.9939,0.0100,0.0244
30,0.9822,0.0127,0.0100
31,0.9937,0.0110,0.0176
32,0.9880,0.0149,0.0210
33,0.9849,0.0042,0.0078
34,0.9880,0.0151,0.0310
35,0.9841,0.0073,0.0046
36,0.9897,0.0120,0.0286
37,0.9839,0.0078,0.0117
38,0.9968,0.0056,0.0271
39,0.9841,0.0146,0.0178
40,0.9861,0.0076,0.0154
41,0.9871,0.0146,0.0239
42,0.9829,0.0032,0.0066
43,0.9851,0.0105,0.0291
44,0.9841,0.0146,0.0054
45,0.9897,0.0078,0.0298
46,0.9829,0.0103,0.0144
47,0.9937,0.0103,0.0193
48,0.9897,0.0186,0.0146
49,0.9851,0.0088,0.0139
50,0.9829,0.0134,0.0237
51,0.9822,0.0125,0.0083
52,0.9880,0.0146,0.0288
53,0.9829,0.0071,0.0068
54,0.9917,0.0117,0.0276
55,0.9851,0.0161,0.0100
56,0.9895,0.0081,0.0205
57,0.9861,0.0115,0.0193
58,0.9919,-0.0017,0.0085
59,0.9810,-0.0679,0.0164
60,0.9780,-0.0239,0.0264
61,1.0063,0.1018,0.0483
62,0.9773,-0.1321,-0.0215
63,0.9751,-0.1353,0.0171
64,0.9988,0.1580,0.0706
65,0.9841,-0.0798,0.0034
66,0.9653,-0.2603,-0.0417
67,1.0251,0.2056,0.1235
68,0.9607,-0.0261,-0.0305
69,0.9724,-0.4094,-0.0173
70,1.0205,0.3044,0.0757
71,0.9617,-0.1067,0.0144
72,0.9949,-0.2393,-0.0259
73,0.9832,0.0149,0.0295
74,1.0015,-0.0132,0.1172
75,0.9749,-0.2119,-0.0876
76,1.0027,-0.1777,0.0610
77,0.9851,-0.0171,0.0264
78,0.9753,-0.2913,0.0220
79,1.0330,-0.1487,0.0371
80,0.9265,-0.3469,0.0132
81,1.0208,-0.1497,0.0730
82,1.0046,-0.3206,0.0122
83,0.9536,-0.4858,0.0046
84,0.9741,-0.1860,0.0564
85,1.0212,-0.3547,0.0486
86,0.9565,-0.5522,-0.0042
