Sample,X,Y,Z
0,0.9890,0.0151,0.0254
1,0.9851,0.0127,0.0105
2,0.9907,0.0125,0.0227
3,0.9792,0.0176,0.0178
4,0.9919,0.0088,0.0208
5,0.9841,0.0125,0.0242
6,0.9829,0.0100,0.0073
7,0.9900,0.0098,0.0271
8,0.9839,0.0115,0.0054
9,0.9897,0.0100,0.0303
10,0.9841,0.0107,0.0098
11,0.9966,0.0120,0.0273
12,0.9841,0.0142,0.0195
13,0.9939,0.0110,0.0132
14,0.9871,0.0156,0.0232
15,0.9832,0.0112,0.0127
16,0.9880,0.0168,0.0310
17,0.9849,0.0137,0.0073
18,0.9907,0.0137,0.0312
19,0.9810,0.0132,0.0066
20,0.9910,0.0107,0.0242
21,0.9878,0.0198,0.0181
22,0.9849,0.0078,0.0137
23,0.9878,0.0195,0.0220
24,0.9810,0.0105,0.0066
25,0.9890,0.0137,0.0310
26,0.9841,0.0117,0.0073
27,0.9941,0.0154,0.0247
28,0.9829,0.0142,0.0117
29,0.9927,0.0144,0.0269
30,0.9871,0.0125,0.0203
31,0.9841,0.0088,0.0117
32,0.9907,0.0251,0.0273
33,0.9841,0.0073,0.0088
34,0.9890,0.0115,0.0291
35,0.9861,0.0198,0.0122
36,0.9907,0.0164,0.0249
37,0.9841,0.0122,0.0149
38,0.9976,0.0134,0.0237
39,0.9841,0.0171,0.0176
40,0.9851,0.0154,0.0093
41,0.9822,0.0190,0.0249
42,0.9841,0.0103,0.0078
43,0.9910,0.0171,0.0327
44,0.9819,0.0132,0.0093
45,0.9927,0.0115,0.0266
46,0.9841,0.0164,0.0122
47,0.9956,0.0105,0.0188
48,0.9839,0.0061,0.0183
49,0.9832,0.0059,0.0142
50,0.9858,0.0173,0.0354
51,0.9829,0.0120,0.0090
52,0.9888,0.0120,0.0247
53,0.9878,0.0103,0.0078
54,0.9937,0.0081,0.0305
55,0.9888,0.0156,0.0142
56,0.9897,0.0071,0.0173
57,0.9849,0.0164,0.0256
58,0.9763,0.0144,0.0193
59,1.0037,0.0186,0.0222
60,0.9956,0.0190,-0.0396
61,0.9509,-0.0481,-0.0071
62,1.0063,0.0725,0.0955
63,1.0388,0.0046,-0.1450
64,0.9263,-0.0037,-0.0754
65,0.9939,0.0054,0.0491
66,1.0173,0.0049,-0.0117
67,1.0005,0.0618,-0.2732
68,0.9392,-0.1130,-0.0696
69,1.0015,0.1716,-0.0024
70,0.9575,-0.0535,-0.1624
71,0.9705,-0.1013,-0.1294
72,1.1023,0.1499,-0.1045
73,0.8503,-0.0537,-0.1489
74,1.0310,0.0220,-0.1680
75,0.9810,-0.0288,-0.0208
76,0.9868,0.0139,-0.2742
77,0.9919,-0.0032,-0.1851
78,0.9919,0.0679,-0.1509
79,0.8833,-0.0251,-0.0520
80,1.0083,-0.1013,-0.2639
81,1.1245,0.1301,-0.2358
82,0.8403,-0.0615,-0.2800
83,0.9978,0.0105,-0.0515
84,1.0203,0.0547,-0.2363
85,0.9783,-0.1328,-0.3374
86,1.0071,0.0420,-0.1489
87,1.0132,0.0720,-0.2363
88,0.9343,-0.0569,-0.1704
89,0.9421,-0.0232,-0.1655
90,1.0398,-0.0078,-0.3286
91,0.9604,0.0889,-0.2561
92,1.0271,-0.0127,-0.0679
93,0.8638,-0.0876,-0.1777
94,0.9888,0.0649,-0.4729
95,1.0964,0.0435,-0.1372
96,0.9636,0.0305,-0.2407
97,0.8464,-0.2571,-0.2959
98,1.1245,0.2734,-0.2773
99,1.0017,0.0291,-0.4595
100,0.8152,-0.2625,-0.3662
101,1.1199,0.1711,-0.3301
102,0.9478,0.0012,-0.3450
103,0.9451,0.0073,-0.6411
104,0.9038,-0.1609,-0.3447
105,1.0574,0.2463,-0.3962
106,0.9624,-0.1335,-0.4788
107,0.9392,-0.1079,-0.5054
108,1.0178,0.0427,-0.4341
109,0.9294,0.0913,-0.4390
110,0.9949,-0.0100,-0.5386
111,0.9275,-0.1829,-0.4360
112,1.0242,0.0845,-0.5396
113,0.9849,0.0486,-0.4348
114,0.8862,-0.0876,-0.6809
115,1.0330,-0.0669,-0.4231
116,0.9822,0.1526,-0.4324
117,0.8608,-0.1658,-0.6252
118,1.0693,-0.0193,-0.6877
119,1.0063,0.0791,-0.5071
120,0.9028,-0.0347,-0.4651
121,0.9253,-0.1665,-0.7122
122,1.0972,0.0999,-0.5588
123,0.8823,0.0063,-0.5393
124,0.9946,-0.1523,-0.5076
125,1.0728,0.1707,-0.7053
126,0.9028,-0.1843,-0.6091
127,1.0095,0.0173,-0.4224
128,0.9841,-0.0488,-0.7427
129,0.9636,0.0334,-0.6431
130,0.9692,0.0613,-0.4622
131,0.9441,-0.1594,-0.5115
132,0.9541,0.0212,-0.8020
133,1.0027,-0.1248,-0.7827
134,1.0588,0.2131,-0.5229
135,0.8198,-0.1782,-0.6770
136,1.0242,-0.1177,-0.6890
137,1.0964,0.1890,-0.8120
138,0.8364,-0.2329,-0.8088
139,1.0115,0.1262,-0.5923
140,1.0073,-0.0662,-0.8352
141,0.9294,-0.0598,-0.7954
142,0.9451,-0.0210,-0.8218
143,0.9138,-0.0659,-0.7808
144,1.0115,0.1604,-0.7114
145,0.9351,-0.2051,-0.8479
146,0.9790,-0.0400,-0.8450
147,0.9995,0.0657,-0.7727
148,0.8774,-0.0332,-0.7542
149,1.0115,-0.0918,-0.8774
150,1.0310,0.0667,-0.8335
151,0.8921,-0.1287,-0.8381
152,0.9702,-0.0918,-0.8635
153,1.0278,0.1912,-0.9856
154,0.8970,-0.2417,-0.8411
155,0.8992,0.0149,-0.6743
156,0.9409,0.2344,-0.6516
157,0.9282,-0.1067,-1.2991
158,1.0701,-0.3313,-0.5845
159,1.4294,0.2515,-0.8486
160,0.7017,-0.3359,-1.3528
161,0.8796,-0.1350,-0.8999
162,1.0818,0.4912,-0.3022
163,0.8250,-0.5247,-1.2124
164,1.0298,0.1465,-0.7073
165,0.9314,0.0933,-0.5137
166,0.8611,-0.0674,-0.8218
167,1.0991,-0.2937,-1.1125
168,1.1101,0.3462,-0.6870
169,0.7634,-0.1592,-0.5493
170,1.0181,0.0176,-0.5295
171,0.9177,0.0493,-0.7798
172,0.9771,-0.2847,-0.8127
173,1.1111,0.0779,-0.7642
174,0.9792,-0.1228,-0.6919
175,0.8669,0.0413,-0.6821
176,0.8970,0.0430,-0.3826
177,0.9148,0.0737,-0.6636
178,1.0659,-0.1228,-1.0637
179,1.0210,-0.0779,-0.8079
180,0.9585,0.2473,-0.5579
181,0.9077,-0.0903,-0.7424
182,0.9929,0.0532,-0.5310
183,0.9880,-0.1467,-0.6245
184,1.0532,-0.0049,-0.7932
185,0.9224,-0.0935,-0.5657
186,0.9861,0.1570,-0.3394
187,0.9546,0.0122,-0.6028
188,1.0024,-0.1626,-0.7532
189,1.0369,-0.0022,-0.5767
190,0.8628,0.0427,-0.3806
191,0.9585,0.2190,-0.4524
192,0.9548,-0.1526,-0.6909
193,1.1021,-0.1042,-0.8069
