Sample,X,Y,Z
0,0.9929,0.0117,0.0273
1,0.9832,0.0151,0.0190
2,0.9849,0.0085,0.0159
3,0.9810,0.0154,0.0276
4,0.9851,0.0125,0.0154
5,0.9900,0.0093,0.0286
6,0.9832,0.0093,0.0134
7,0.9912,0.0110,0.0298
8,0.9919,0.0139,0.0154
9,0.9878,0.0032,0.0225
10,0.9819,0.0161,0.0225
11,0.9858,0.0132,0.0190
12,0.9861,0.0193,0.0293
13,0.9829,0.0107,0.0105
14,0.9946,0.0168,0.0286
15,0.9890,0.0173,0.0132
16,0.9907,0.0132,0.0269
17,0.9819,0.0144,0.0203
18,0.9949,0.0159,0.0215
19,0.9858,0.0142,0.0225
20,0.9812,0.0105,0.0095
21,0.9841,0.0178,0.0261
22,0.9861,0.0127,0.0098
23,0.9849,0.0168,0.0303
24,0.9832,0.0142,0.0095
25,0.9949,0.0132,0.0249
26,0.9849,0.0146,0.0151
27,0.9871,0.0066,0.0151
28,0.9851,0.0176,0.0266
29,0.9919,0.0205,0.0154
30,0.9800,0.0085,0.0271
31,0.9851,0.0132,0.0093
32,0.9976,0.0159,0.0281
33,0.9822,0.0115,0.0103
34,0.9907,0.0081,0.0249
35,0.9897,0.0242,0.0200
36,0.9900,0.0078,0.0212
37,0.9802,0.0139,0.0286
38,0.9839,0.0115,0.0117
39,0.9880,0.0146,0.0300
40,0.9829,0.0110,0.0112
41,0.9917,0.0125,0.0293
42,0.9888,0.0200,0.0139
43,0.9897,0.0146,0.0190
44,0.9829,0.0095,0.0227
45,0.9890,0.0085,0.0107
46,0.9858,0.0186,0.0269
47,0.9783,0.0073,0.0103
48,0.9880,0.0110,0.0305
49,0.9868,0.0215,0.0122
50,0.9937,0.0093,0.0251
51,0.9832,0.0110,0.0151
52,0.9907,0.0149,0.0212
53,0.9897,0.0210,0.0251
54,0.9783,0.0010,0.0110
55,0.9871,0.0132,0.0239
56,0.9917,0.0164,0.0120
57,0.9917,0.0161,0.0269
58,0.9822,-0.0334,0.0083
59,0.9851,-0.0596,0.0239
60,0.9958,0.1143,0.0483
61,0.9966,-0.0298,-0.0112
62,0.9490,-0.2053,0.0076
63,1.0278,0.1606,0.0466
64,0.9614,-0.0461,0.0413
65,1.0083,-0.1553,-0.0527
66,0.9692,0.0776,0.0923
67,1.0034,0.0085,-0.0088
68,0.9890,-0.2092,0.0142
69,0.9783,0.0034,0.0352
70,1.0171,0.0361,0.0537
71,0.9548,-0.1809,-0.0237
72,0.9956,-0.1987,0.0164
73,1.0090,0.0110,0.1057
74,0.9558,-0.1411,-0.0188
75,1.0229,-0.3115,0.0110
76,0.9597,-0.0725,0.0454
77,1.0066,-0.1287,0.0593
78,0.9634,-0.3071,-0.0249
79,0.9663,-0.2485,0.0186
