Sample,X,Y,Z
0,0.9839,0.0156,0.0137
1,0.9956,0.0125,0.0286
2,0.9861,0.0154,0.0142
3,0.9888,0.0129,0.0181
4,0.9829,0.0176,0.0259
5,0.9897,0.0176,0.0129
6,0.9868,0.0168,0.0259
7,0.9832,0.0132,0.0078
8,0.9995,0.0168,0.0288
9,0.9810,0.0188,0.0129
10,0.9888,0.0090,0.0227
11,0.9839,0.0156,0.0190
12,0.9868,0.0156,0.0193
13,0.9871,0.0149,0.0222
14,0.9810,0.0117,0.0132
15,0.9917,0.0159,0.0276
16,0.9832,0.0173,0.0134
17,0.9927,0.0117,0.0332
18,0.9861,0.0171,0.0137
19,0.9917,0.0125,0.0210
20,0.9871,0.0178,0.0205
21,0.9871,0.0078,0.0188
22,0.9890,0.0132,0.0256
23,0.9861,0.0151,0.0095
24,0.9868,0.0137,0.0293
25,0.9832,0.0100,0.0088
26,0.9927,0.0137,0.0278
27,0.9836,0.0139,0.0144
28,0.9868,0.0063,0.0217
29,0.9871,0.0134,0.0203
30,0.9880,0.0117,0.0159
31,0.9841,0.0120,0.0298
32,0.9861,0.0127,0.0132
33,0.9917,0.0103,0.0288
34,0.9871,0.0100,0.0125
35,0.9939,0.0066,0.0251
36,0.9832,0.0132,0.0156
37,0.9897,0.0115,0.0195
38,0.9851,0.0142,0.0225
39,0.9858,0.0066,0.0149
40,0.9839,0.0127,0.0261
41,0.9841,0.0132,0.0103
42,0.9897,0.0142,0.0288
43,0.9849,0.0083,0.0120
44,0.9968,0.0093,0.0286
45,0.9883,0.0193,0.0154
46,0.9900,0.0085,0.0190
47,0.9871,0.0112,0.0281
48,0.9868,0.0146,0.0107
49,0.9880,0.0132,0.0281
50,0.9819,0.0146,0.0103
51,0.9910,0.0144,0.0320
52,0.9858,0.0149,0.0125
53,0.9900,0.0127,0.0247
54,0.9839,0.0178,0.0212
55,0.9871,0.0103,0.0178
56,0.9880,0.0183,0.0278
57,0.9900,0.0027,0.0066
58,0.9927,0.0430,0.0535
59,0.9919,-0.0081,-0.0510
60,0.9487,0.0261,0.0190
61,1.0085,0.0007,0.0344
62,1.0173,0.0347,-0.0088
63,0.9321,0.0002,-0.1772
64,0.9832,0.0129,0.0806
65,1.0193,0.0786,-0.0049
66,1.0125,-0.0862,-0.1689
67,0.9263,0.0208,-0.1294
68,1.0593,0.0415,0.0442
69,0.9656,0.1028,-0.0635
70,0.9148,-0.1877,-0.2456
71,1.1121,0.0950,0.0417
72,0.9167,0.1357,-0.1064
73,0.9771,-0.1851,-0.1189
74,1.0095,0.1433,-0.0830
75,0.9526,-0.0405,-0.1526
76,1.0034,0.0093,-0.0623
